Report from: 19-02-2019 16:43:16

Test File: E:\UALTESTS\AFB_CMPC_SI.txt

Test AFB_CMPС_SI_EQ_0, AFB tests for CMPС_SI_EQ element
    Set #TUN_IN_SI1=-78 - Ok
    Check #OUT_CMPC_SI_EQ001=0 - Ok
    Set #TUN_IN_SI1=-51 - Ok
    Check #OUT_CMPC_SI_EQ001=0 - Ok
    Set #TUN_IN_SI1=-50 - Ok
    Check #OUT_CMPC_SI_EQ001=1 - Ok
    Set #TUN_IN_SI1=-49 - Ok
    Check #OUT_CMPC_SI_EQ001=1 - Ok
    Set #TUN_IN_SI1=1 - Ok
    Check #OUT_CMPC_SI_EQ001=1 - Ok
    Set #TUN_IN_SI1=1 - Ok
    Check #OUT_CMPC_SI_EQ001=1 - Ok
    Set #TUN_IN_SI1=49 - Ok
    Check #OUT_CMPC_SI_EQ001=1 - Ok
    Set #TUN_IN_SI1=50 - Ok
    Check #OUT_CMPC_SI_EQ001=1 - Ok
    Set #TUN_IN_SI1=51 - Ok
    Check #OUT_CMPC_SI_EQ001=0 - Ok
    Set #TUN_IN_SI1=100 - Ok
    Check #OUT_CMPC_SI_EQ001=0 - Ok
    Set #TUN_IN_SI1=50 - Ok
    Check #OUT_CMPC_SI_EQ001=1 - Ok
Endtest - Ok

Test AFB_CMPС_SI_EQ_24, AFB tests for CMPС_SI_EQ element
    Set #TUN_IN_SI2=-100 - Ok
    Check #OUT_CMPC_SI_EQ002=0 - Ok
    Set #TUN_IN_SI2=-99 - Ok
    Check #OUT_CMPC_SI_EQ002=0 - Ok
    Set #TUN_IN_SI2=-26 - Ok
    Check #OUT_CMPC_SI_EQ002=1 - Ok
    Set #TUN_IN_SI2=0 - Ok
    Check #OUT_CMPC_SI_EQ002=1 - Ok
    Set #TUN_IN_SI2=25 - Ok
    Check #OUT_CMPC_SI_EQ002=1 - Ok
    Set #TUN_IN_SI2=76 - Ok
    Check #OUT_CMPC_SI_EQ002=0 - Ok
    Set #TUN_IN_SI2=77 - Ok
    Check #OUT_CMPC_SI_EQ002=0 - Ok
    Set #TUN_IN_SI2=9999 - Ok
    Check #OUT_CMPC_SI_EQ002=0 - Ok
    Set #TUN_IN_SI2=100 - Ok
    Check #OUT_CMPC_SI_EQ002=0 - Ok
    Set #TUN_IN_SI2=77 - Ok
